ticker,name,sector,price,pe_ratio,dividend_yield,eps,week52_low,week52_high,market_cap,ebitda,ps_ratio,pb_ratio,market_cap_bn,ebitda_bn,ev_ebitda_proxy,price_range_pct,market_cap_tier,loaded_at,acquired,deal_year,deal_value_bn,acquirer,deal_status,pe_ratio_sector_pct,pb_ratio_sector_pct,ps_ratio_sector_pct,ev_ebitda_proxy_sector_pct,market_cap_sector_pct,dividend_yield_sector_pct,pe_ratio_zscore,pb_ratio_zscore,ps_ratio_zscore,ev_ebitda_proxy_zscore,cheap_count,log_market_cap,log_ebitda,cheap_and_midcap,cash_cow_flag,near_52w_low,near_52w_high,profitable,low_pb_small_size,sector_Consumer Discretionary,sector_Consumer Staples,sector_Energy,sector_Financials,sector_Health Care,sector_Industrials,sector_Information Technology,sector_Materials,sector_Real Estate,sector_Telecommunication Services,sector_Utilities,tier_Large-cap,tier_Mega-cap,tier_Mid-cap
BRK.B,Berkshire Hathaway,Financials,191.42,30.43,0.0,9.76,217.62,160.93,261401203633.0,0.0,1.4328232,1.58,261.401203633,0.0,13.333242399935546,46.21626389133889,Mega-cap,2026-04-25T14:52:57.872278,0,2023.0,13.0,,none,0.9558823529411765,0.47794117647058826,0.20588235294117646,0.6323529411764706,0.9558823529411765,0.029411764705882353,1.7539403064840189,-0.19401186946945725,-0.738649516889609,0.0,2,26.289322242693643,0.0,0,0,0,0,1,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False
BBY,Best Buy Co. Inc.,Consumer Discretionary,68.79,19.22,1.9085041,3.81,78.59,41.67,20831186176.0,2555000000.0,0.76715523,4.79,20.831186176,2.555,8.153106135420744,26.543878656554703,Large-cap,2026-04-25T14:52:57.872278,1,2023.0,29.4,,rumoured,0.5357142857142857,0.6428571428571429,0.10714285714285714,0.30952380952380953,0.6428571428571429,0.6547619047619048,-0.1864645781632366,-0.2622441843333635,-1.0309251424562902,0.0,2,23.75971703620525,21.66131806099347,1,1,1,0,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
BIIB,Biogen Inc.,Health Care,311.79,14.3,0.0,11.94,370.57,244.28,69157726427.0,6511400000.0,5.737439,5.51,69.157726427,6.5114,10.621022579936726,46.5436693324887,Large-cap,2026-04-25T14:52:57.872278,0,2021.5,63.0,,unlabeled,0.2459016393442623,0.6885245901639344,0.7049180327868853,0.29508196721311475,0.7868852459016393,0.21311475409836064,-0.34533120708616344,-0.1362261925385717,0.23922787234697077,0.0,2,24.95965562313207,22.59682032396316,0,0,0,0,1,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False
BLK,BlackRock,Financials,509.38,22.49,2.1643558,30.3,594.52,368.0,85907759858.0,5684000000.0,6.9158196,2.95,85.907759858,5.684,15.113961973610134,37.58608511389722,Large-cap,2026-04-25T14:52:57.872278,0,2023.0,13.0,,none,0.8235294117647058,0.8382352941176471,0.8970588235294118,0.17647058823529413,0.8823529411764706,0.7058823529411765,0.7013928742260117,-0.1424587692352977,1.3648614308687772,0.0,1,25.17653999781699,22.460921047357196,0,1,0,0,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False
HRB,Block H&R,Financials,25.19,12.29,3.7296038,1.92,31.8,19.85,5381433872.0,894754000.0,2.0188456,205.0419999999998,5.381433872,0.894754,6.014428403784727,55.31380753138075,Mid-cap,2026-04-25T14:52:57.872278,0,2023.0,13.0,,unlabeled,0.19117647058823528,1.0,0.3382352941176471,0.029411764705882353,0.04411764705882353,0.9558823529411765,-0.6507461445437203,7.462263225306132,-0.5138263647110586,0.0,3,22.406220694755167,20.612059379240534,1,1,0,0,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True
BA,Boeing Company,Industrials,329.66,27.29,1.9648397,13.47,361.45,163.69,205617405233.0,12476000000.0,2.1560605,182.86,205.617405233,12.476,16.48103600777493,16.075040453074415,Mega-cap,2026-04-25T14:52:57.872278,0,2023.0,76.75,,none,0.8955223880597015,1.0,0.5074626865671642,0.8507462686567164,1.0,0.6567164179104478,1.1431881011643081,7.4045596022521085,-0.257837021388732,0.8158743745331629,0,26.049283022751712,23.24707263577212,0,0,1,0,1,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False
BWA,BorgWarner,Consumer Discretionary,51.94,14.15,1.2363636,0.55,58.22,37.54,11596117445.0,867900000.0,1.5831376,2.89,11.596117445,0.8679,13.361121609632448,30.367504835589948,Large-cap,2026-04-25T14:52:57.872278,0,2023.0,29.4,,unlabeled,0.21428571428571427,0.34523809523809523,0.39285714285714285,0.7857142857142857,0.34523809523809523,0.4523809523809524,-0.37214037860000054,-0.3122555021580878,-0.4739210489940347,0.0,3,23.173936176102167,20.58158705976668,1,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False
BXP,Boston Properties,Real Estate,112.09,18.05,2.7744062,2.93,140.13,111.87,17799878487.0,1546846000.0,6.839459,3.15,17.799878487,1.546846,11.507207884301346,99.22151450813872,Large-cap,2026-04-25T14:52:57.872278,0,2024.0,28.0,,unlabeled,0.6363636363636364,0.6060606060606061,0.2727272727272727,0.3939393939393939,0.5757575757575758,0.15151515151515152,-0.13716360576065845,-0.18465711429708162,-0.7515016173588744,0.0,2,23.602457467704294,21.159483856717323,1,1,0,1,1,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False
BSX,Boston Scientific,Health Care,25.2,20.0,0.0,0.07,29.93,23.29,36142506007.0,1726000000.0,4.055685,4.78,36.142506007,1.726,20.940038242757826,71.23493975903614,Large-cap,2026-04-25T14:52:57.872278,0,2021.5,63.0,,unlabeled,0.5245901639344263,0.6721311475409836,0.5081967213114754,0.7540983606557377,0.5901639344262295,0.21311475409836064,-0.13377899755483663,-0.16535246637889206,-0.20153997000466423,0.0,0,24.31073546137775,21.269072430187023,0,0,0,1,1,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False
BHF,Brighthouse Financial Inc,Financials,55.44,22.63,0.0,-24.62,75.0,52.751,7066613254.0,0.0,1.4188358,0.8303999999999999,7.066613254,0.0,13.333242399935546,87.91406355341813,Mid-cap,2026-04-25T14:52:57.872278,0,2023.0,13.0,,unlabeled,0.8382352941176471,0.022058823529411766,0.19117647058823528,0.6323529411764706,0.07352941176470588,0.029411764705882353,0.7199516450718708,-0.22221931759757843,-0.7440156792731326,0.0,2,22.67864717167299,0.0,1,0,0,1,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True
BMY,Bristol-Myers Squibb,Health Care,62.69,20.83,2.5546863,2.65,66.1,51.12,102506501960.0,5170000000.0,6.503231,6.75,102.50650196,5.17,19.82717639458414,22.76368491321761,Large-cap,2026-04-25T14:52:57.872278,0,2021.5,63.0,,none,0.5573770491803278,0.7868852459016393,0.7868852459016393,0.639344262295082,0.8688524590163934,0.8688524590163934,-0.10297402669325752,-0.08675142601528775,0.43993290264875295,0.0,0,25.35319206727889,22.366138525660173,0,1,1,0,1,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False
